Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
413769,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,2016 Summer,17.23,
413745,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2016 Summer,6.16,
413733,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),206,Borough Park,2016 Summer,7.77,
413808,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),410,Rockaways,2016 Summer,5.12,
413820,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,2016 Summer,4.09,
551124,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,2016-17 Winter,20.74,
551148,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,2016-17 Winter,15.63,
551121,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,2016-17 Winter,20.63,
551058,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2016-17 Winter,22.64,
551133,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),407,Southwest Queens,2016-17 Winter,20.84,
551031,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2016-17 Winter,19.13,
551094,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),304,Upper West Side,2016-17 Winter,27.76,
551073,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2016-17 Winter,20.08,
551040,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2016-17 Winter,22.26,
551076,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2016-17 Winter,18.74,
551067,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),206,Borough Park,2016-17 Winter,20.27,
551085,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),301,Washington Heights,2016-17 Winter,22.96,
551070,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2016-17 Winter,22.15,
551139,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),409,Southeast Queens,2016-17 Winter,19.93,
551052,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),201,Greenpoint,2016-17 Winter,23.59,
551100,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,2016-17 Winter,32.22,
551118,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),402,West Queens,2016-17 Winter,21.45,
551049,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2016-17 Winter,21.66,
551142,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),410,Rockaways,2016-17 Winter,19.25,
551097,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),305,Upper East Side,2016-17 Winter,32.75,
551106,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,2016-17 Winter,35.88,
551055,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2016-17 Winter,23.64,
551064,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),205,Sunset Park,2016-17 Winter,20.85,
551115,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,2016-17 Winter,21.01,
551046,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2016-17 Winter,22.82,
551061,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),204,East New York,2016-17 Winter,21.82,
551145,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),501,Port Richmond,2016-17 Winter,13.84,
551043,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2016-17 Winter,23.26,
551151,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),503,Willowbrook,2016-17 Winter,13.33,
551103,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,2016-17 Winter,31.86,
551091,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),303,East Harlem,2016-17 Winter,24.33,
551034,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2016-17 Winter,20.82,
551154,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,2016-17 Winter,12.37,
551079,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2016-17 Winter,19.29,
551130,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,2016-17 Winter,20.8,
551082,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2016-17 Winter,22.38,
551112,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,2016-17 Winter,26.27,
551127,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,2016-17 Winter,21.37,
551088,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2016-17 Winter,23.1,
551136,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),408,Jamaica,2016-17 Winter,20.81,
551109,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,2016-17 Winter,29.53,
551037,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2016-17 Winter,21.76,
551044,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2017 Summer,8.26,
551152,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,2017 Summer,3.74,
551029,391,3,104,2028,122,Nitric Oxide (NO),Mean,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2017 Summer,6.61,
